25 25
0 0 grass
0 1 grass
0 2 grass
0 3 grass
0 4 grass
0 5 grass
0 6 grass
0 7 grass
0 8 grass
0 9 grass
0 10 grass
0 11 grass
0 12 grass
0 13 grass
0 14 grass
0 15 grass
0 16 grass
0 17 grass
0 18 grass
0 19 grass
0 20 grass
0 21 grass
0 22 grass
0 23 grass
0 24 grass
1 0 grass
1 1 stone
1 2 stone
1 3 stone
1 4 stone
1 5 stone
1 6 stone
1 7 stone
1 8 stone
1 9 stone
1 10 stone
1 11 stone
1 12 stone
1 13 stone
1 14 stone
1 15 stone
1 16 stone
1 17 stone
1 18 stone
1 19 stone
1 20 stone
1 21 stone
1 22 stone
1 23 stone
1 24 grass
2 0 grass
2 1 stone
2 2 grass
2 3 grass
2 4 grass
2 5 grass
2 6 grass
2 7 grass
2 8 stone
2 9 grass
2 10 grass
2 11 grass
2 12 grass
2 13 grass
2 14 grass
2 15 grass
2 16 grass
2 17 grass
2 18 grass
2 19 grass
2 20 grass
2 21 grass
2 22 grass
2 23 stone
2 24 grass
3 0 grass
3 1 stone
3 2 grass
3 3 grass
3 4 grass
3 5 grass
3 6 grass
3 7 grass
3 8 stone
3 9 grass
3 10 grass
3 11 grass
3 12 stone
3 13 grass
3 14 grass
3 15 grass
3 16 grass
3 17 grass
3 18 grass
3 19 grass
3 20 grass
3 21 grass
3 22 grass
3 23 stone
3 24 grass
4 0 grass
4 1 stone
4 2 grass
4 3 grass
4 4 grass
4 5 grass
4 6 grass
4 7 grass
4 8 grass
4 9 grass
4 10 grass
4 11 grass
4 12 stone
4 13 grass
4 14 grass
4 15 grass
4 16 grass
4 17 grass
4 18 grass
4 19 grass
4 20 grass
4 21 grass
4 22 grass
4 23 stone
4 24 grass
5 0 grass
5 1 stone
5 2 grass
5 3 grass
5 4 grass
5 5 grass
5 6 grass
5 7 grass
5 8 grass
5 9 grass
5 10 grass
5 11 grass
5 12 stone
5 13 grass
5 14 grass
5 15 grass
5 16 grass
5 17 grass
5 18 grass
5 19 grass
5 20 grass
5 21 grass
5 22 grass
5 23 stone
5 24 grass
6 0 grass
6 1 stone
6 2 grass
6 3 grass
6 4 grass
6 5 grass
6 6 grass
6 7 grass
6 8 stone
6 9 grass
6 10 grass
6 11 grass
6 12 stone
6 13 grass
6 14 grass
6 15 grass
6 16 grass
6 17 grass
6 18 stone
6 19 stone
6 20 stone
6 21 grass
6 22 grass
6 23 stone
6 24 grass
7 0 grass
7 1 stone
7 2 grass
7 3 grass
7 4 grass
7 5 grass
7 6 grass
7 7 grass
7 8 stone
7 9 grass
7 10 grass
7 11 grass
7 12 grass
7 13 grass
7 14 grass
7 15 grass
7 16 grass
7 17 grass
7 18 grass
7 19 grass
7 20 grass
7 21 grass
7 22 grass
7 23 stone
7 24 grass
8 0 grass
8 1 stone
8 2 stone
8 3 stone
8 4 grass
8 5 grass
8 6 stone
8 7 stone
8 8 stone
