25 25
1 1 stone
1 2 stone
1 3 stone
1 4 stone
1 5 stone
1 6 stone
1 7 stone
1 8 stone
1 9 stone
1 10 stone
1 11 stone
1 12 stone
1 13 stone
1 14 stone
1 15 stone
1 16 stone
1 17 stone
1 18 stone
1 19 stone
1 20 stone
1 21 stone
1 22 stone
1 23 stone
2 1 stone
2 8 stone
2 23 stone
3 1 stone
3 8 stone
3 12 stone
3 23 stone
4 1 stone
4 12 stone
4 23 stone
5 1 stone
5 12 stone
5 23 stone
6 1 stone
6 8 stone
6 12 stone
6 18 stone
6 19 stone
6 20 stone
6 23 stone
7 1 stone
7 8 stone
7 23 stone
8 1 stone
8 2 stone
8 3 stone
8 6 stone
8 7 stone
8 8 stone
8 23 stone
9 1 stone
9 23 stone
10 1 stone
10 14 stone
10 23 stone
11 1 stone
11 11 water
11 12 water
11 13 water
11 14 stone
11 23 stone
12 1 stone
12 8 stone
12 9 stone
12 10 stone
12 11 water
12 12 water
12 13 water
12 14 stone
12 15 stone
12 16 stone
12 23 stone
13 1 stone
13 10 stone
13 11 water
13 12 water
13 13 water
13 23 stone
14 1 stone
14 10 stone
14 23 stone
15 1 stone
15 23 stone
16 1 stone
16 16 stone
16 17 stone
16 18 stone
16 21 stone
16 22 stone
16 23 stone
17 1 stone
17 16 stone
17 23 stone
18 1 stone
18 4 stone
18 5 stone
18 6 stone
18 12 stone
18 16 stone
18 23 stone
19 1 stone
19 12 stone
19 23 stone
20 1 stone
20 12 stone
20 23 stone
21 1 stone
21 12 stone
21 16 stone
21 23 stone
22 1 stone
22 16 stone
22 23 stone
23 1 stone
23 2 stone
23 3 stone
23 4 stone
23 5 stone
23 6 stone
23 7 stone
23 8 stone
23 9 stone
23 10 stone
23 11 stone
23 12 stone
23 13 stone
23 14 stone
23 15 stone
23 16 stone
23 17 stone
23 18 stone
23 19 stone
23 20 stone
23 21 stone
23 22 stone
23 23 stone
